"sura_id","aya_id","count"
56,82,"68"
33,72,"68"
55,11,"68"
12,53,"68"
10,98,"68"
25,61,"68"
7,33,"68"
3,43,"68"
57,13,"68"
28,57,"68"
77,6,"68"
13,14,"68"
3,72,"68"
59,6,"68"
6,8,"68"
6,77,"68"
17,51,"68"
10,88,"68"
40,28,"68"
6,7,"68"
17,59,"68"
17,92,"68"
88,6,"68"
14,48,"68"
18,64,"68"
2,114,"68"
47,13,"68"
3,194,"68"
2,109,"68"
50,30,"68"
9,5,"68"
7,102,"68"
12,108,"68"
6,90,"68"
23,60,"68"
79,1,"68"
10,15,"68"
20,131,"68"
2,278,"68"
35,27,"68"
39,74,"68"
7,133,"68"
4,10,"68"
26,3,"68"
29,41,"68"
3,31,"68"
6,101,"68"
25,54,"68"
53,12,"68"
73,5,"68"
93,7,"68"
22,9,"68"
27,52,"68"
2,170,"68"
88,17,"68"
35,12,"68"
19,72,"68"
4,7,"68"
2,43,"68"
2,126,"68"
7,204,"68"
41,16,"68"
26,224,"68"
100,3,"68"
24,21,"68"
16,47,"68"
111,2,"68"
4,153,"68"
34,14,"68"
90,16,"68"
84,2,"68"
29,1,"68"
57,25,"68"
51,3,"68"
95,6,"68"
106,4,"68"
112,3,"68"
20,44,"68"
44,16,"68"
105,3,"68"
11,20,"68"
12,45,"68"
41,33,"68"
17,26,"68"
4,48,"68"
94,2,"68"
13,10,"68"
23,44,"68"
6,40,"68"
5,95,"68"
12,35,"68"
6,100,"68"
42,30,"68"
20,123,"68"
6,138,"68"
3,199,"68"
87,3,"68"
17,68,"68"
56,17,"68"
56,37,"68"
39,69,"68"
11,37,"68"
21,18,"68"
9,104,"68"
4,18,"68"
77,3,"68"
3,42,"68"
7,95,"68"
9,61,"68"
19,12,"68"
4,11,"68"
27,47,"68"
2,218,"68"
5,105,"68"
81,1,"68"
9,106,"68"
18,61,"68"
17,14,"68"
88,3,"68"
43,86,"68"
18,52,"68"
27,25,"68"
78,36,"68"
17,69,"68"
15,24,"68"
72,18,"68"
50,9,"68"
58,22,"68"
37,3,"68"
17,29,"68"
51,19,"68"
52,30,"67"
56,5,"67"
27,39,"67"
6,137,"67"
7,140,"67"
2,156,"67"
56,13,"67"
20,87,"67"
87,13,"67"
95,3,"67"
18,49,"67"
18,86,"67"
61,5,"67"
22,55,"67"
31,22,"67"
62,2,"67"
81,2,"67"
50,45,"67"
3,172,"67"
83,15,"67"
3,139,"67"
56,95,"67"
43,89,"67"
51,13,"67"
36,56,"67"
2,254,"67"
19,86,"67"
18,26,"67"
18,59,"67"
22,18,"67"
17,102,"67"
53,40,"67"
4,15,"67"
51,8,"67"
9,49,"67"
2,168,"67"
78,1,"67"
106,2,"67"
4,66,"67"
58,7,"67"
27,6,"67"
15,80,"67"
18,93,"67"
16,1,"67"
10,90,"67"
37,164,"67"
11,61,"67"
11,100,"67"
55,39,"67"
80,30,"67"
15,98,"67"
70,1,"67"
56,33,"67"
10,53,"67"
56,71,"67"
52,3,"67"
24,15,"67"
16,6,"67"
89,5,"67"
79,10,"67"
24,60,"67"
9,70,"67"
55,29,"67"
14,49,"67"
5,16,"67"
18,34,"67"
63,7,"67"
36,2,"67"
51,10,"67"
42,2,"67"
15,9,"67"
37,6,"67"
100,4,"67"
15,17,"67"
59,8,"67"
80,6,"67"
3,26,"67"
55,60,"67"
47,33,"67"
20,58,"67"
56,19,"67"
3,122,"67"
35,21,"67"
43,41,"67"
3,1,"67"
57,1,"67"
25,24,"67"
4,37,"67"
13,3,"67"
43,58,"67"
68,11,"67"
6,39,"67"
14,17,"67"
29,29,"67"
7,89,"67"
20,96,"67"
7,20,"67"
9,75,"67"
89,7,"67"
7,28,"67"
20,63,"67"
2,136,"67"
42,25,"67"
75,1,"67"
37,12,"67"
28,34,"67"
21,19,"67"
42,1,"67"
74,39,"67"
8,6,"67"
20,72,"67"
6,45,"67"
101,1,"67"
85,2,"67"
65,12,"67"
99,1,"67"
79,4,"67"
8,12,"67"
28,5,"67"
6,115,"67"
86,4,"67"
29,48,"67"
6,143,"67"
7,152,"67"
52,49,"67"
13,22,"67"
